TFSI,NCN,Ni,Fe,Predictor,Gas
312.5,769.23,517.33,4.35666666666667,No gas,0
313.87,770.42,518.94,4.364,No gas,0
314.66,770.42,517.6,4.35142857142857,No gas,0
313.09,771.6,518.67,4.34666666666667,No gas,0
313.28,771.01,518.4,4.34,No gas,0
314.76,769.23,518.67,4.34153846153846,No gas,0
313.28,770.42,518.67,4.34733333333333,No gas,0
313.09,769.23,518.4,4.34941176470588,No gas,0
313.68,769.82,518.67,4.34631578947369,No gas,0
312.6,766.87,516.53,4.34476190476191,No gas,0
313.77,769.82,518.67,4.34260869565217,No gas,0
313.19,770.42,518.4,4.3432,No gas,0
313.48,769.82,518.67,4.34666666666667,No gas,0
312.79,769.23,517.6,4.34344827586207,No gas,0
313.77,770.42,518.67,4.34193548387097,No gas,0
312.89,769.82,518.4,4.34151515151515,No gas,0
313.58,770.42,518.67,4.34228571428571,No gas,0
313.48,770.42,518.94,4.34432432432432,No gas,0
313.38,770.42,518.67,4.34717948717949,No gas,0
312.6,771.01,518.4,4.34536585365854,No gas,0
313.09,771.01,518.67,4.34372093023256,No gas,0
313.28,769.82,518.4,4.34288888888889,No gas,0
313.48,769.82,518.67,4.34255319148936,No gas,0
313.48,769.82,518.4,4.34448979591837,No gas,0
313.48,769.82,518.67,4.34607843137255,No gas,0
313.28,771.01,518.67,4.34509433962264,No gas,0
313.58,769.82,518.67,4.34418181818182,No gas,0
313.28,770.42,518.67,4.34298245614035,No gas,0
313.19,769.82,518.94,4.3435593220339,No gas,0
313.38,769.82,518.67,4.34459016393443,No gas,0
312.7,770.42,518.94,4.34507936507937,No gas,0
313.09,771.01,518.94,4.34446153846154,No gas,0
312.99,769.82,518.67,4.34373134328358,No gas,0
314.07,770.42,519.48,4.34333333333333,No gas,0
312.89,771.01,518.67,4.34267605633803,No gas,0
313.28,770.42,518.67,4.34506849315068,No gas,0
313.48,769.82,518.67,4.34386666666667,No gas,0
313.28,771.01,518.4,4.34311688311688,No gas,0
313.48,770.42,518.94,4.34329113924051,No gas,0
312.99,771.01,518.67,4.34392405063292,No gas,0
313.58,770.42,518.94,4.34367088607595,No gas,0
313.28,769.82,518.67,4.3420253164557,No gas,0
313.58,770.42,518.94,4.34037974683545,No gas,0
313.58,770.42,518.94,4.34075949367089,No gas,0
313.68,769.82,518.67,4.34113924050633,No gas,0
313.19,770.42,518.94,4.34126582278481,No gas,0
312.21,769.23,518.4,4.34126582278481,No gas,0
313.38,771.01,518.67,4.34126582278481,No gas,0
313.38,771.01,518.67,4.34151898734177,No gas,0
313.87,769.82,518.94,4.34177215189874,No gas,0
313.19,769.82,518.94,4.34189873417722,No gas,0
313.19,770.42,518.94,4.3420253164557,No gas,0
313.28,769.82,518.94,4.34164556962025,No gas,0
313.28,771.01,518.67,4.34037974683544,No gas,0
313.48,771.01,518.67,4.33898734177215,No gas,0
313.48,771.01,518.4,4.33898734177215,No gas,0
313.38,770.42,518.94,4.33898734177215,No gas,0
313.38,769.23,518.67,4.33886075949367,No gas,0
312.21,769.23,517.6,4.33873417721519,No gas,0
313.28,771.6,518.67,4.33860759493671,No gas,0
313.38,770.42,518.67,4.33860759493671,No gas,0
313.28,770.42,518.67,4.34012658227848,No gas,0
313.38,771.01,518.67,4.34126582278481,No gas,0
313.48,771.6,518.94,4.34063291139241,No gas,0
313.28,769.82,518.67,4.33949367088608,No gas,0
313.19,770.42,518.67,4.33835443037975,No gas,0
313.58,770.42,518.94,4.33898734177215,No gas,0
313.38,770.42,518.67,4.33962025316456,No gas,0
313.38,771.01,518.94,4.33974683544304,No gas,0
313.09,774.59,517.06,4.33936708860759,No gas,0
312.79,769.82,517.33,4.33911392405063,No gas,0
313.87,770.42,517.06,4.33898734177215,No gas,0
313.28,769.82,518.67,4.33886075949367,No gas,0
313.58,770.42,518.67,4.33822784810126,No gas,0
313.68,770.42,518.67,4.33759493670886,No gas,0
313.28,769.82,518.4,4.33683544303797,No gas,0
313.68,770.42,518.67,4.33582278481013,No gas,0
313.38,771.6,518.94,4.3346835443038,No gas,0
313.58,772.2,518.67,4.3346835443038,No gas,0
313.58,770.42,519.48,4.3346835443038,No gas,0
313.38,769.82,518.67,4.33556962025316,No gas,0
313.19,770.42,518.67,4.33645569620253,No gas,0
312.89,770.42,518.4,4.33645569620253,No gas,0
313.28,771.01,518.67,4.33607594936709,No gas,0
313.68,770.42,519.21,4.33582278481013,No gas,0
313.48,774.59,520.02,4.33569620253165,No gas,0
313.58,769.82,518.94,4.33556962025316,No gas,0
313.87,771.01,518.4,4.33392405063291,No gas,0
313.58,769.82,518.94,4.33227848101266,No gas,0
312.89,769.82,518.4,4.33227848101266,No gas,0
313.58,770.42,518.67,4.33227848101266,No gas,0
313.19,770.42,518.94,4.33329113924051,No gas,0
313.19,769.82,518.94,4.33430379746836,No gas,0
313.19,771.01,518.67,4.33455696202532,No gas,0
313.48,770.42,518.67,4.33493670886076,No gas,0
313.77,771.01,519.21,4.3353164556962,No gas,0
313.38,770.42,518.67,4.33518987341772,No gas,0
313.09,771.01,518.4,4.33506329113924,No gas,0
313.38,770.42,519.48,4.33455696202531,No gas,0
313.38,769.82,518.94,4.33367088607595,No gas,0
313.58,771.01,518.67,4.33278481012658,No gas,0
313.38,771.01,518.94,4.3326582278481,No gas,0
313.48,771.01,518.94,4.33253164556962,No gas,0
313.48,770.42,518.67,4.33316455696202,No gas,0
313.38,770.42,518.67,4.33379746835443,No gas,0
313.28,770.42,518.67,4.33367088607595,No gas,0
313.38,769.23,518.4,4.33341772151899,No gas,0
313.58,770.42,518.94,4.33316455696202,No gas,0
313.19,769.23,518.94,4.33303797468354,No gas,0
313.38,769.82,518.67,4.33291139240506,No gas,0
313.77,769.82,518.4,4.33189873417721,No gas,0
313.38,770.42,518.67,4.33088607594936,No gas,0
313.38,771.01,518.94,4.33126582278481,No gas,0
313.68,769.82,518.94,4.33164556962025,No gas,0
313.58,769.82,518.67,4.33189873417721,No gas,0
312.99,770.42,518.94,4.33177215189873,No gas,0
313.58,770.42,518.67,4.33164556962025,No gas,0
313.58,770.42,519.21,4.33101265822785,No gas,0
313.48,771.01,518.4,4.33037974683544,No gas,0
314.07,770.42,518.94,4.33101265822785,No gas,0
312.79,769.82,518.13,4.33164556962025,No gas,0
313.97,770.42,518.67,4.33291139240506,No gas,0
313.38,769.23,518.67,4.33354430379747,No gas,0
313.38,769.23,518.94,4.33291139240506,No gas,0
313.38,769.23,518.4,4.33253164556962,No gas,0
313.48,770.42,518.67,4.33215189873418,No gas,0
313.38,771.01,518.94,4.33227848101266,No gas,0
313.58,770.42,518.67,4.33240506329114,No gas,0
313.48,770.42,518.4,4.33227848101266,No gas,0
313.38,771.01,518.94,4.33177215189873,No gas,0
313.68,770.42,518.67,4.33164556962025,No gas,0
313.28,769.82,518.94,4.33202531645569,No gas,0
313.68,771.01,518.67,4.33240506329114,No gas,0
313.58,770.42,518.94,4.33392405063291,No gas,0
313.48,770.42,518.94,4.33544303797468,No gas,0
313.28,770.42,518.67,4.33556962025316,No gas,0
313.48,769.82,518.67,4.33556962025316,No gas,0
313.77,769.82,517.87,4.3353164556962,No gas,0
314.07,770.42,518.94,4.33506329113924,No gas,0
313.77,769.23,518.67,4.33481012658228,No gas,0
313.68,770.42,518.94,4.33316455696202,No gas,0
313.19,770.42,518.94,4.33151898734177,No gas,0
313.28,770.42,518.4,4.33202531645569,No gas,0
313.58,770.42,519.21,4.33253164556962,No gas,0
314.47,775.19,520.29,4.33430379746835,No gas,0
313.58,770.42,518.4,4.33544303797468,No gas,0
313.09,771.01,518.67,4.33468354430379,No gas,0
312.89,770.42,519.21,4.33443037974683,No gas,0
313.58,769.82,518.67,4.33417721518987,No gas,0
313.19,771.01,517.6,4.33417721518987,No gas,0
313.28,770.42,518.67,4.33417721518987,No gas,0
313.28,769.82,518.67,4.33405063291139,No gas,0
312.89,769.82,518.67,4.33379746835443,No gas,0
313.68,769.82,518.67,4.33367088607595,No gas,0
312.89,769.82,518.13,4.33367088607595,No gas,0
313.38,770.42,517.87,4.33367088607595,No gas,0
312.11,769.23,519.21,4.33379746835443,No gas,0
312.4,771.01,518.13,4.33392405063291,No gas,0
312.99,769.82,518.94,4.33417721518987,No gas,0
314.07,773.99,518.67,4.33354430379747,No gas,0
313.38,770.42,518.67,4.33316455696202,No gas,0
313.58,771.6,518.94,4.33367088607595,No gas,0
313.38,770.42,518.4,4.33417721518987,No gas,0
312.6,769.82,518.4,4.33506329113924,No gas,0
312.89,769.82,518.94,4.33594936708861,No gas,0
313.48,770.42,518.94,4.33582278481012,No gas,0
313.58,768.64,518.4,4.33569620253164,No gas,0
313.68,769.82,518.4,4.33544303797468,No gas,0
312.11,769.82,517.33,4.33518987341772,No gas,0
312.7,771.6,517.6,4.33493670886076,No gas,0
313.48,769.82,518.67,4.33392405063291,No gas,0
313.58,769.82,518.94,4.33291139240506,No gas,0
