TFSI,NCN,Ni,Fe,Predictor,Gas
312.89,776.4,518.67,4.15333333333333,No gas,0
312.3,775.19,518.67,4.18,No gas,0
312.5,776.4,518.67,4.20857142857143,No gas,0
314.86,783.09,521.1,4.21333333333333,No gas,0
311.82,775.19,518.4,4.19818181818182,No gas,0
313.19,776.4,518.4,4.19076923076923,No gas,0
312.6,776.4,518.67,4.18733333333333,No gas,0
313.38,776.4,518.13,4.18470588235294,No gas,0
312.4,774.59,518.67,4.18105263157895,No gas,0
312.4,774.59,519.75,4.18857142857143,No gas,0
312.21,775.8,518.67,4.18521739130435,No gas,0
311.82,774.59,518.94,4.1832,No gas,0
312.6,775.19,518.67,4.18185185185185,No gas,0
314.37,773.99,518.13,4.18413793103448,No gas,0
312.7,775.8,518.94,4.18903225806452,No gas,0
314.27,775.19,517.6,4.18666666666667,No gas,0
314.07,777,520.02,4.18457142857143,No gas,0
313.09,773.99,520.02,4.18594594594595,No gas,0
312.99,777,518.4,4.18589743589744,No gas,0
312.3,775.19,518.94,4.18707317073171,No gas,0
311.62,776.4,519.21,4.18813953488372,No gas,0
312.3,775.19,518.67,4.18688888888889,No gas,0
313.68,776.4,519.48,4.18531914893617,No gas,0
312.3,775.19,517.87,4.18387755102041,No gas,0
312.3,776.4,518.67,4.18274509803922,No gas,0
312.79,774.59,519.21,4.1833962264151,No gas,0
315.36,780.64,521.38,4.18363636363637,No gas,0
312.4,774.59,518.94,4.1821052631579,No gas,0
312.6,777,519.21,4.18101694915254,No gas,0
314.07,775.19,518.94,4.18065573770492,No gas,0
313.19,776.4,518.67,4.18015873015873,No gas,0
312.5,774.59,517.87,4.18,No gas,0
312.5,776.4,519.21,4.17985074626866,No gas,0
313.68,775.19,519.21,4.17927536231884,No gas,0
312.89,775.19,519.48,4.1787323943662,No gas,0
312.3,775.19,518.67,4.1782191780822,No gas,0
313.19,775.19,518.94,4.17773333333334,No gas,0
312.5,775.8,517.87,4.17831168831169,No gas,0
313.19,776.4,518.94,4.17860759493671,No gas,0
312.21,775.8,518.67,4.17848101265823,No gas,0
312.79,775.8,519.75,4.17835443037975,No gas,0
312.01,775.8,519.21,4.17835443037975,No gas,0
312.5,776.4,518.67,4.17835443037975,No gas,0
312.11,775.8,518.94,4.17683544303798,No gas,0
313.19,776.4,518.4,4.1753164556962,No gas,0
312.11,774.59,517.6,4.17379746835443,No gas,0
312.3,776.4,518.67,4.17316455696203,No gas,0
312.3,774.59,519.21,4.17253164556962,No gas,0
313.09,776.4,519.21,4.17316455696203,No gas,0
312.6,773.99,518.67,4.17379746835443,No gas,0
312.6,775.8,519.48,4.17379746835443,No gas,0
313.68,775.19,518.67,4.17379746835443,No gas,0
312.89,773.99,518.4,4.17379746835443,No gas,0
312.5,774.59,517.6,4.17354430379747,No gas,0
312.5,775.8,519.21,4.17329113924051,No gas,0
314.96,775.19,519.21,4.17341772151899,No gas,0
312.99,775.8,519.48,4.17354430379747,No gas,0
312.21,775.8,518.67,4.17367088607595,No gas,0
312.5,777,519.21,4.17240506329114,No gas,0
313.77,773.99,519.21,4.17113924050633,No gas,0
313.09,776.4,518.67,4.17189873417722,No gas,0
312.7,774.59,517.87,4.1726582278481,No gas,0
312.89,776.4,518.94,4.17253164556962,No gas,0
312.6,773.99,519.21,4.17240506329114,No gas,0
313.09,776.4,519.48,4.17227848101266,No gas,0
313.97,775.19,518.13,4.17215189873418,No gas,0
312.79,776.4,518.94,4.1720253164557,No gas,0
312.6,775.19,518.94,4.17075949367089,No gas,0
312.89,776.4,518.67,4.16949367088608,No gas,0
312.4,775.19,518.4,4.16822784810127,No gas,0
312.89,777,519.48,4.16835443037975,No gas,0
312.21,774.59,519.21,4.16848101265823,No gas,0
312.89,775.8,518.94,4.16911392405064,No gas,0
312.21,775.19,518.94,4.16974683544304,No gas,0
312.99,776.4,518.94,4.16911392405064,No gas,0
312.11,775.19,517.33,4.16848101265823,No gas,0
313.19,775.8,519.48,4.16784810126583,No gas,0
312.79,775.19,518.67,4.16784810126583,No gas,0
313.77,775.8,519.21,4.16784810126583,No gas,0
312.89,776.4,518.94,4.16658227848102,No gas,0
312.7,777,519.21,4.16531645569621,No gas,0
313.87,774.59,518.67,4.16531645569621,No gas,0
313.09,777,518.94,4.16531645569621,No gas,0
312.3,775.19,517.33,4.16531645569621,No gas,0
312.5,776.4,518.94,4.16607594936709,No gas,0
313.58,774.59,518.94,4.16683544303798,No gas,0
312.5,775.8,518.94,4.16683544303798,No gas,0
312.3,775.19,518.94,4.16683544303798,No gas,0
312.7,776.4,519.21,4.16683544303798,No gas,0
