TFSI,NCN,Ni,Fe,Predictor,Gas
313.77,766.87,517.6,6.49,No gas,0
315.06,769.82,519.48,6.498,No gas,0
313.87,768.64,518.94,6.48857142857143,No gas,0
313.68,767.46,518.94,6.48666666666667,No gas,0
313.77,768.05,518.4,6.48181818181818,No gas,0
314.56,768.64,518.67,6.48153846153846,No gas,0
313.58,766.87,518.67,6.482,No gas,0
313.77,767.46,518.94,6.47823529411765,No gas,0
314.27,766.87,518.4,6.47842105263158,No gas,0
314.07,764.53,517.33,6.4852380952381,No gas,0
314.17,766.87,518.4,6.49086956521739,No gas,0
314.27,768.05,518.94,6.5028,No gas,0
313.58,766.28,518.94,6.50111111111111,No gas,0
314.27,768.05,518.67,6.49965517241379,No gas,0
313.97,766.87,518.4,6.49838709677419,No gas,0
314.66,766.87,519.75,6.49818181818182,No gas,0
313.87,766.87,518.4,6.49714285714286,No gas,0
314.07,767.46,519.21,6.49621621621621,No gas,0
313.97,766.87,518.4,6.49487179487179,No gas,0
314.07,767.46,518.67,6.49658536585366,No gas,0
314.17,766.87,518.67,6.49813953488372,No gas,0
314.27,766.87,518.4,6.49511111111111,No gas,0
314.76,767.46,518.4,6.49425531914894,No gas,0
314.37,768.64,518.67,6.4934693877551,No gas,0
313.97,766.87,518.94,6.49176470588235,No gas,0
314.37,768.05,518.4,6.4911320754717,No gas,0
313.58,766.28,518.4,6.49054545454546,No gas,0
313.87,767.46,518.4,6.48947368421053,No gas,0
313.97,766.87,518.4,6.48847457627119,No gas,0
314.07,766.87,518.67,6.48868852459016,No gas,0
313.87,767.46,518.4,6.48746031746032,No gas,0
314.07,767.46,518.67,6.48723076923077,No gas,0
314.07,766.28,518.4,6.48701492537313,No gas,0
313.87,767.46,518.13,6.48739130434783,No gas,0
314.07,766.87,518.4,6.48661971830986,No gas,0
314.27,767.46,518.13,6.48698630136986,No gas,0
313.97,766.87,518.67,6.48653333333333,No gas,0
314.47,767.46,518.4,6.4861038961039,No gas,0
314.27,766.87,518.4,6.48746835443038,No gas,0
313.87,767.46,517.87,6.4873417721519,No gas,0
313.97,765.7,518.67,6.48721518987342,No gas,0
314.07,769.82,518.4,6.48670886075949,No gas,0
314.07,766.87,518.4,6.48607594936709,No gas,0
314.07,767.46,518.4,6.48518987341772,No gas,0
313.97,766.28,518.4,6.48518987341772,No gas,0
314.27,768.05,518.67,6.48506329113924,No gas,0
314.27,767.46,518.67,6.48493670886076,No gas,0
314.47,767.46,518.4,6.48506329113924,No gas,0
314.17,766.87,518.4,6.48620253164557,No gas,0
314.07,767.46,518.4,6.48582278481013,No gas,0
313.97,766.28,518.67,6.48493670886076,No gas,0
313.97,766.87,518.13,6.48506329113924,No gas,0
313.77,766.28,518.4,6.48518987341772,No gas,0
314.27,767.46,518.4,6.48481012658228,No gas,0
313.97,766.87,518.4,6.4873417721519,No gas,0
314.17,766.87,518.13,6.48987341772152,No gas,0
